id,price_doc
30474,5295058.5
30636,5249129.0
30645,7242195.5
30710,6783982.5
30765,5802542.5
30769,7185123.5
30796,11314248.0
30832,5652585.5
30911,4045793.25
30933,4305229.5
30948,8427880.0
31111,10715650.0
31145,5732928.5
31224,6974861.0
31284,3798967.75
31370,9576543.0
31375,5557546.5
31529,5694062.5
31545,7256527.0
31573,5344115.5
31580,7192445.5
31591,6074231.0
31607,7258292.0
31625,9730246.0
31676,7177576.5
31716,5781243.5
31729,6986171.5
31795,5352602.5
31803,7473719.5
31884,5193093.5
32019,5507806.5
32087,5361103.5
32305,5619010.0
32313,5511400.5
32335,7934282.5
32353,5425861.0
32474,3817617.25
32525,5414479.0
32546,11234853.0
32551,5072490.5
32570,5759127.5
32591,8076988.0
32650,7681645.5
32898,11237296.0
32908,7376743.0
32917,5675678.0
32940,6935911.5
32946,7356832.5
33024,14071519.0
33082,8772840.0
33091,4892712.5
33097,5230969.0
33273,7317340.5
33315,6487703.0
33369,7306225.5
33462,7335402.0
33569,4957123.0
33657,7137787.0
33806,7313950.0
33866,6807443.5
34238,10851334.0
34315,14449878.0
34342,6845247.5
34347,5647429.0
34401,4879697.5
34527,6921836.5
34555,10494389.0
34600,8047187.0
34690,11474329.0
34797,8610118.0
34866,5489851.0
34867,6717606.5
34885,7687582.0
34991,4787693.5
35123,6879455.0
35180,5333840.5
35240,3705384.25
35453,4814525.0
35489,5901445.0
35490,10545133.0
35563,5982432.0
35635,5703589.5
35832,7986276.5
35913,8728926.0
35984,9396691.0
36036,5969068.0
36047,8032634.0
36198,8152316.0
36307,5099867.0
36441,6383619.0
36463,5186975.5
36473,5349005.0
36497,5339133.0
36560,8231628.0
36781,4442710.0
36797,8936251.0
36877,7761536.0
36905,4672765.5
37030,6871187.0
37105,8800678.0
37121,6440801.5
37191,7218902.0
37222,12299198.0
37243,5059813.0
37247,8061950.5
37327,8174145.5
37368,6580493.0
37394,5642767.0
37525,7548466.0
37542,8010846.5
37704,10017924.0
37760,6177363.5
37853,7201430.0
37858,6479769.5
37878,5140062.0
37933,7001505.5
38012,7591225.0
38101,6228818.5
