id,price_doc
30474,5275119.0
30475,8140717.0
30476,5324611.0
30477,5610073.5
30478,4942621.5
30479,9246404.0
30480,4155140.25
30481,4144790.75
30482,4768701.0
30483,4570332.0
30484,6470729.0
30485,4841243.0
30486,3701372.25
30487,3677232.5
30488,6067098.5
30489,6123980.0
30490,22132034.0
30491,18802354.0
30492,5538356.5
30493,12902953.0
30494,6566263.0
30495,10915082.0
30496,8623234.0
30497,8247941.0
30498,4459664.5
30499,7484154.0
30500,11198227.0
30501,6957303.0
30502,2964841.75
30503,6475019.5
30504,5585862.5
30505,11085172.0
30506,3154243.25
30507,4632928.0
30508,5337809.5
30509,7488466.5
30510,9153805.0
30511,6358737.5
30512,6162183.0
30513,4158196.5
30514,3272089.75
30515,9452290.0
30516,5740380.0
30517,11330163.0
30518,8582647.0
30519,4386175.5
30520,6873736.5
30521,5888593.0
30522,7473555.5
30523,6243073.5
30524,10466224.0
30525,9556672.0
30526,4772959.5
30527,5006557.0
30528,6619006.0
30529,6602236.5
30530,5974615.0
30531,14408870.0
30532,4628269.0
30533,10019854.0
30534,6606840.5
30535,9351670.0
30536,5686459.5
30537,11692207.0
30538,5041831.5
30539,8216725.5
30540,9572945.0
30541,5789619.0
30542,1949424.25
30543,5495822.5
30544,6710339.5
30545,8368077.5
30546,4165753.75
30547,9599988.0
30548,4415019.5
30549,5012983.0
30550,12134480.0
30551,4963755.0
30552,1730068.0
30553,6996826.5
30554,10779854.0
30555,6184307.5
30556,9130631.0
30557,7571003.0
30558,9312209.0
30559,6329056.5
30560,5809619.0
30561,6771372.0
30562,11739649.0
30563,5043991.0
30564,7089653.5
30565,6581039.0
30566,7090877.5
30567,1837966.75
30568,9815974.0
30569,9775841.0
30570,6376013.5
30571,7402246.5
30572,4813900.5
30573,6468878.0
30574,6021066.5
30575,7475409.0
30576,4823831.5
30577,4079765.25
30578,3138789.25
30579,7027803.0
30580,4574474.5
30581,5412104.0
30582,12682672.0
30583,6770248.5
30584,4408351.0
30585,2696935.5
30586,8638840.0
30587,5800739.0
30588,8051340.0
30589,7198539.0
30590,12433240.0
30591,5298715.5
30592,6651265.0
30593,7937340.0
30594,6453627.0
30595,5378566.5
30596,6687557.5
30597,6479769.5
30598,9489339.0
30599,10939947.0
30600,5242035.5
30601,6101344.0
30602,1569720.25
30603,12262025.0
30604,4555302.0
30605,6596773.5
30606,24942780.0
30607,6830829.0
30608,8579545.0
30609,6151772.5
30610,2958263.75
30611,5406037.5
30612,7293360.5
30613,8306116.5
30614,17566248.0
30615,7604275.0
30616,5521385.5
30617,9209495.0
30618,4995421.0
30619,4309074.5
